DamStorage DetentionBasinStorage MeanDaysOfPrecipitationPerMonth GrayInfrastructureStorage VegetationHeight VegetationType VegetationCover SuccessionalStage VegetationInfiltrationAndInterception Slope HydrologicSoilGroup ImperviousSurfaceCover MonthlyTemperature FrozenSoil SoilInfiltration LeveesBridges FloodplainWidth FloodplainConveyance GreenInfrastructureStorage FloodSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover NoSuccession High GentlyUndulating SoilGroupC ModeratelyLowImpervious HighTemperature Absent Moderate Absent VeryNarrow Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover PoleSuccession Low Level SoilGroupA LowImpervious HighTemperature Absent High Absent Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover NoSuccession Low Level SoilGroupA LowImpervious HighTemperature Absent VeryHigh Absent Narrow Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover EarlySuccession VeryLow RollingToHilly SoilGroupB VeryLowImpervious LowTemperature Present VeryLow Absent Wide High VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover PoleSuccession Moderate Level SoilGroupB HighlyImpervious LowTemperature Present VeryLow Absent VeryWide High LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover MidSuccession Moderate Level SoilGroupC ModeratelyLowImpervious LowTemperature Present VeryLow Absent VeryNarrow Low LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation HighVegetationCover LateSuccession VeryLow Level SoilGroupD ModeratelyHighlyImpervious HighTemperature Absent Low Absent Narrow Low LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover MidSuccession Moderate GentlyUndulating SoilGroupD ModeratelyLowImpervious ModerateTemperature Absent Moderate Absent Narrow Moderate VeryLowGreenStorage LowSink
ModerateDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation ModerateGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation VeryLowVegetationCover MidSuccession Moderate RollingToHilly SoilGroupB LowImpervious HighTemperature Absent VeryLow Absent VeryWide Moderate LowGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover MidSuccession VeryLow Level SoilGroupC ModeratelyLowImpervious LowTemperature Present VeryLow Absent Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover PoleSuccession Moderate GentlyUndulating SoilGroupB ModeratelyLowImpervious HighTemperature Absent VeryHigh Absent Narrow Low ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover MidSuccession Low Level SoilGroupD ModeratelyLowImpervious HighTemperature Absent Moderate Absent Wide Moderate HighGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover MidSuccession Moderate Level SoilGroupB LowImpervious HighTemperature Absent VeryHigh Present VeryWide Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation LowVegetationCover MidSuccession Low SteeplyDissectedToMountainous SoilGroupD VeryLowImpervious HighTemperature Absent VeryLow Absent VeryWide Moderate VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation VeryLowVegetationCover NoSuccession VeryLow Level SoilGroupB ModeratelyLowImpervious HighTemperature Absent VeryHigh Present VeryNarrow Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover EarlySuccession Low GentlyUndulating SoilGroupC ModeratelyLowImpervious LowTemperature Present VeryLow Present VeryWide Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover MidSuccession High RollingToHilly SoilGroupC LowImpervious ModerateTemperature Absent VeryLow Absent Narrow Low HighGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover MidSuccession Moderate Level SoilGroupD VeryLowImpervious HighTemperature Absent VeryHigh Absent VeryWide Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover NoSuccession VeryHigh GentlyUndulating SoilGroupD ModeratelyLowImpervious HighTemperature Absent Moderate Absent Narrow Low ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation LowVegetationCover NoSuccession VeryLow GentlyUndulating SoilGroupA VeryLowImpervious ModerateTemperature Absent VeryHigh Absent VeryNarrow Low HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight WetlandVegetation VeryLowVegetationCover NoSuccession VeryHigh GentlyUndulating SoilGroupD VeryLowImpervious HighTemperature Absent Low Absent VeryWide High LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover EarlySuccession Low Level SoilGroupC ModeratelyLowImpervious ModerateTemperature Absent Moderate Absent Wide Moderate ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover OldGrowth Moderate Level SoilGroupD VeryLowImpervious HighTemperature Absent Low Absent VeryNarrow Low HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover PoleSuccession Moderate Level SoilGroupB LowImpervious HighTemperature Absent VeryHigh Absent VeryNarrow Low HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation LowVegetationCover EarlySuccession VeryLow GentlyUndulating SoilGroupD ModeratelyLowImpervious LowTemperature Present VeryLow Present VeryWide Moderate VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover LateSuccession High Level SoilGroupC ModeratelyLowImpervious LowTemperature Present VeryLow Absent Narrow Low VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover PoleSuccession VeryLow GentlyUndulating SoilGroupB ModeratelyLowImpervious HighTemperature Absent VeryHigh Absent Narrow Low HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover NoSuccession High Level SoilGroupA HighlyImpervious HighTemperature Absent Low Absent VeryWide Moderate HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover NoSuccession Low RollingToHilly SoilGroupD LowImpervious LowTemperature Present VeryLow Absent VeryNarrow Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover MidSuccession VeryLow SteeplyDissectedToMountainous SoilGroupB VeryLowImpervious HighTemperature Absent VeryLow Absent Wide Moderate VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover OldGrowth High Level SoilGroupA ModeratelyHighlyImpervious HighTemperature Absent VeryHigh Present Narrow Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover NoSuccession VeryHigh GentlyUndulating SoilGroupC ModeratelyLowImpervious HighTemperature Absent High Absent Wide Moderate ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight WetlandVegetation VeryHighVegetationCover PoleSuccession VeryHigh Level SoilGroupB LowImpervious HighTemperature Absent High Absent Wide Moderate VeryHighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation VeryHighVegetationCover LateSuccession VeryHigh GentlyUndulating SoilGroupC ModeratelyHighlyImpervious HighTemperature Absent High Absent Wide Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover MidSuccession Low GentlyUndulating SoilGroupD VeryLowImpervious HighTemperature Absent Moderate Absent Narrow Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover LateSuccession VeryLow Level SoilGroupA ModeratelyHighlyImpervious LowTemperature Present VeryLow Present VeryWide Low VeryLowGreenStorage VeryLowSink
ModerateDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation LowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover EarlySuccession High Level SoilGroupD VeryLowImpervious HighTemperature Absent VeryHigh Absent Wide High VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover PoleSuccession Moderate Level SoilGroupC LowImpervious HighTemperature Absent Moderate Absent VeryNarrow Low ModerateGreenStorage VeryLowSink
ModerateDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation LowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover PoleSuccession Low RollingToHilly SoilGroupD LowImpervious HighTemperature Absent VeryLow Absent Narrow Low LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover MidSuccession VeryLow Level SoilGroupB ModeratelyHighlyImpervious HighTemperature Absent VeryHigh Present VeryWide Low HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation LowVegetationCover MidSuccession Low GentlyUndulating SoilGroupC LowImpervious LowTemperature Present VeryLow Absent VeryNarrow Moderate LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover NoSuccession Low Level SoilGroupC LowImpervious HighTemperature Absent High Absent Narrow Low LowGreenStorage VeryLowSink
VeryLargeDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation ModerateGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover EarlySuccession Moderate Level SoilGroupA VeryLowImpervious HighTemperature Absent VeryHigh Absent VeryWide High VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation LowVegetationCover MidSuccession VeryLow Level SoilGroupB VeryHighlyImpervious HighTemperature Absent VeryLow Absent Wide Moderate VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover NoSuccession High RollingToHilly SoilGroupA HighlyImpervious LowTemperature Present VeryLow Absent VeryNarrow Low VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover MidSuccession Low Level SoilGroupC LowImpervious HighTemperature Absent Moderate Absent VeryNarrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation LowVegetationCover EarlySuccession VeryLow Level SoilGroupB VeryLowImpervious HighTemperature Absent VeryHigh Absent VeryWide Moderate VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover PoleSuccession VeryLow Level SoilGroupB LowImpervious LowTemperature Present VeryLow Absent VeryNarrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStoragePresent HighDaysPrecipitation LowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover PoleSuccession Moderate Level SoilGroupC VeryLowImpervious LowTemperature Present VeryLow Absent VeryWide High LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation VeryHighVegetationCover NoSuccession Moderate Level SoilGroupC LowImpervious LowTemperature Present VeryLow Absent Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover NoSuccession Moderate GentlyUndulating SoilGroupB VeryLowImpervious HighTemperature Absent VeryHigh Absent Narrow Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover MidSuccession VeryLow Level SoilGroupD LowImpervious LowTemperature Absent Moderate Absent Wide High VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStoragePresent VeryHighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation VeryHighVegetationCover NoSuccession VeryHigh Level SoilGroupD VeryLowImpervious LowTemperature Present VeryLow Absent VeryWide High LowGreenStorage LowSink
LargeDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryHighGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation HighVegetationCover NoSuccession VeryLow GentlyUndulating SoilGroupC LowImpervious HighTemperature Absent High Absent Narrow Low ModerateGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover EarlySuccession VeryLow GentlyUndulating SoilGroupC VeryLowImpervious HighTemperature Absent High Absent Narrow Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover LateSuccession VeryLow GentlyUndulating SoilGroupC LowImpervious HighTemperature Absent Moderate Absent Narrow Moderate ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight WetlandVegetation VeryLowVegetationCover NoSuccession High Level SoilGroupB LowImpervious HighTemperature Absent VeryHigh Absent Wide High VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover MidSuccession Moderate RollingToHilly SoilGroupB VeryHighlyImpervious HighTemperature Absent VeryLow Absent Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation HighVegetationCover EarlySuccession Low GentlyUndulating SoilGroupB LowImpervious ModerateTemperature Present VeryLow Absent Narrow Low VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover OldGrowth Moderate Level SoilGroupA VeryLowImpervious LowTemperature Present VeryLow Absent Narrow Low VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover PoleSuccession Low Level SoilGroupB ModeratelyLowImpervious LowTemperature Present VeryLow Absent VeryNarrow Low LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover MidSuccession Low Level SoilGroupA LowImpervious HighTemperature Absent VeryHigh Absent VeryWide High VeryHighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover EarlySuccession Moderate GentlyUndulating SoilGroupC LowImpervious LowTemperature Present VeryLow Absent Wide Low ModerateGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation HighVegetationCover EarlySuccession Low Level SoilGroupC LowImpervious ModerateTemperature Present VeryLow Absent Wide High LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation VeryLowVegetationCover MidSuccession High Level SoilGroupC VeryLowImpervious HighTemperature Absent Moderate Absent VeryNarrow Low ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover NoSuccession VeryLow Level SoilGroupC LowImpervious HighTemperature Absent VeryHigh Absent VeryWide Low ModerateGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation LowVegetationCover EarlySuccession Low GentlyUndulating SoilGroupB VeryLowImpervious HighTemperature Absent VeryHigh Absent Wide Moderate LowGreenStorage VeryLowSink
ModerateDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation LowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover NoSuccession Moderate Level SoilGroupA ModeratelyHighlyImpervious LowTemperature Present VeryLow Absent Narrow Moderate VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation VeryLowVegetationCover NoSuccession Low Level SoilGroupD LowImpervious HighTemperature Absent VeryHigh Present VeryWide Low ModerateGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover NoSuccession Low Level SoilGroupD LowImpervious LowTemperature Present VeryLow Absent Narrow Moderate VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation VeryHighVegetationCover MidSuccession High Level SoilGroupC VeryLowImpervious HighTemperature Absent VeryHigh Absent VeryWide Moderate VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover NoSuccession Low SteeplyDissectedToMountainous SoilGroupC LowImpervious HighTemperature Absent VeryLow Present VeryNarrow Low ModerateGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover PoleSuccession VeryLow SteeplyDissectedToMountainous SoilGroupB VeryLowImpervious HighTemperature Absent Low Absent VeryWide High LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight WetlandVegetation ModerateVegetationCover EarlySuccession VeryHigh Level SoilGroupB VeryHighlyImpervious LowTemperature Present VeryLow Absent Wide Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation LowVegetationCover PoleSuccession VeryLow RollingToHilly SoilGroupC VeryLowImpervious HighTemperature Absent VeryLow Absent Wide High LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover MidSuccession High Level SoilGroupB LowImpervious HighTemperature Absent VeryHigh Absent Wide Moderate VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation VeryHighVegetationCover NoSuccession VeryHigh Level SoilGroupD ModeratelyLowImpervious ModerateTemperature Absent Low Absent Narrow Low ModerateGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation HighVegetationCover PoleSuccession VeryLow RollingToHilly SoilGroupD LowImpervious HighTemperature Absent VeryLow Absent Narrow Low VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover EarlySuccession Moderate Level SoilGroupA ModeratelyLowImpervious LowTemperature Present VeryLow Absent VeryWide Moderate LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover EarlySuccession High Level SoilGroupD VeryLowImpervious LowTemperature Present VeryLow Present VeryWide Low VeryLowGreenStorage VeryLowSink
